Result_Type,Model_Pair,Global_Spearman,Global_Cosine,Local_Spearman_Mean,Local_Cosine_Mean,Local_Spearman_Median,Local_Cosine_Median,n_observations,Global_Spearman_Normalized,Global_Cosine_Normalized,Local_Spearman_Normalized,Local_Cosine_Normalized,Global_CECI_Component,Local_CECI_Component,Pairwise_CECI,CECI_Rank
Pairwise,RF-XGB,0.8740259740259739,0.8650797005175266,0.5884242424242424,0.6837029558053168,0.6116883116883116,0.7597396336980093,300.0,0.937012987012987,0.9325398502587632,0.7942121212121211,0.8418514779026585,0.9347764186358752,0.8180317995573898,0.8764041090966325,1.0
Pairwise,XGB-LGBM,0.8324675324675326,0.9110018681718948,0.4431645021645021,0.6358140675235584,0.4506493506493507,0.7162266908781054,300.0,0.9162337662337664,0.9555009340859474,0.721582251082251,0.8179070337617792,0.9358673501598568,0.7697446424220151,0.852805996290936,2.0
Pairwise,RF-LGBM,0.7571428571428571,0.8773661554835118,0.4573593073593073,0.5910004838539238,0.4889610389610389,0.6466117089160084,300.0,0.8785714285714286,0.938683077741756,0.7286796536796537,0.7955002419269619,0.9086272531565922,0.7620899478033079,0.83535860047995,3.0
Pairwise,LGBM-MLP,0.3415584415584415,0.8102743995510722,0.1078571428571428,0.4424941887289407,0.1376623376623376,0.57456691693701,300.0,0.6707792207792207,0.905137199775536,0.5539285714285714,0.7212470943644703,0.7879582102773783,0.6375878328965209,0.7127730215869497,4.0
Pairwise,XGB-MLP,0.3324675324675324,0.6204691200359321,0.209095238095238,0.3855577193660324,0.2298701298701298,0.5040242612987138,300.0,0.6662337662337662,0.8102345600179661,0.604547619047619,0.6927788596830162,0.7382341631258662,0.6486632393653176,0.6934487012455919,5.0
Pairwise,RF-MLP,0.2597402597402597,0.7037077180290171,0.1861818181818181,0.3261135594601162,0.1922077922077922,0.3321519346007354,300.0,0.6298701298701299,0.8518538590145086,0.5930909090909091,0.6630567797300582,0.7408619944423193,0.6280738444104836,0.6844679194264014,6.0
Overall,ALL_PAIRS,,,,,,,,,,,,0.8410542316329812,0.7106985510758391,0.7758763913544102,
Component,Global Spearman,,,,,,,,,,,,,,0.783116883116883,0.25
Component,Global Cosine,,,,,,,,,,,,,,0.8989915801490795,0.25
Component,Local Spearman,,,,,,,,,,,,,,0.6660068542568542,0.25
Component,Local Cosine,,,,,,,,,,,,,,0.755390247894824,0.25
